LB's Notes,SITEYRID,SurveyYrID,Year,Site Name,County,Elevation,"Water Body (creek, river canyon or lake name)",SurveyType,UTMZone,Datum,Start_X,Start_Y,Start_Lat,Start_Long,Stop_X,Stop_Y,Stop_Lat,Stop_Long,Declination,Surveyed PreviousYear,PreviousYearName,Affiliation,Permit#,SurveyLength,NumSurveys,TotalHours,Detections,PO,PR,CO,NumNests,Notes
,47,47,2022,Campbell North ,Yavapai,1286,Verde River,,12S,NAD83,371916,3859311,,,370691,3859313,,,10,yes ,Campell North ,Prescott Audubon Society ,ESPER0020702,1.6,4,13.84,3,0,0,0,0,
,48,48,2022,Campbell South,Yavapai,1286,Verde River,,12S,NAD83,371920,3859317,,,372697,3860452,,,10,yes ,Campbell South ,Prescott Audubon Society ,ESPER0020702,2.7,4,17.31,5,0,1,0,0,
,49,49,2022,Verde Springs ,Yavapai,1292,Verde River,,12S,NAD83,369104,3858708,,,370680,3859300,,,10,yes ,Verde Springs,Prescott Audubon Society ,ESPER0020702,2.2,5,23.37,9,1,0,0,0,
,50,50,2022,Cibola NWR Unit 1- Cottonwood Genetics and CW-North,La Paz,71,Lower Colorado River,,11,NAD83,715400,3694550,,,716200,3695365,,,0,yes ,Cibola NWR Unit 1- Cottonwood Genetics and CW-North,Southern Sierra Research Station,TE 017459,0.8,4,11.16,2,0,0,0,0,
,51,51,2022,Bill Williams River NWR East- Esquerra Ranch ,La Paz,165,Bill Williams River,,11,NAD83,774295.644,3794262.12,,,775725.164,3795904.62,,,0,yes ,Esquerra Ranch ,Southern Sierra Research Station,TE 017459,0.8,4,11.95,0,0,0,0,0,
,52,52,2022,Bill Williams River NWR East- Kohen Ranch ,La Paz,145,Lower Colorado River,,11,NAD83,772887.0951,3794894.93,,,773775.4701,3795923.31,,,0,yes ,Bill Williams River NWR East- Kohen Ranch ,Southern Sierra Research Station,TE 017459,1,4,7.96,2,0,0,0,0,
,53,53,2022,Bill Williams River NWR East- Mineral Wash,La Paz,165,Bill Williams River,,11,NAD83,775700.8596,3794248.55,,,777378.7322,3794638.14,,,0,yes ,Bill Williams River NWR East- Mineral Wash ,Southern Sierra Research Station,TE 017459,1.7,4,10.6,2,1,0,0,0,
,54,54,2022,Cibola NWR Unit 1- Upper Hippy Fire,La Paz,71,Lower Colorado River,,11,NAD83,713894.8488,3693132,,,714725.8145,3695316.65,,,0,yes ,Cibola NWR Unit 1- Upper Hippy Fire,Southern Sierra Research Station,TE 017459,0.8,4,7.94,3,0,0,2,0,
,55,55,2022,Cibola NWR- Eastside ,La Paz,71,Lower Colorado River,,11,NAD83,715822,3694952,,,716185,3694961,,,0,yes ,Eastside,Southern Sierra Research Station,TE 017459,0.4,4,1.54,6,0,1,1,1,
,56,56,2022,Cibola NWR Unit 1- North 160,La Paz,75,Lower Colorado River,,11,NAD83,714610,3694121,,,715410,3694948,,,0,yes ,Cibola NWR Unit 1- North 160,Southern Sierra Research Station,TE 017459,0.8,4,6.76,10,1,0,4,3,
,57,57,2022,Cibola NWR Unit 1- Crane Roost North,La Paz,71,Lower Colorado River,,11,NAD83,714640,3693650,,,715400,3694140,,,0,yes ,Cibola NWR Unit 1- Crane Roost North ,Southern Sierra Research Station,TE 017459,0.8,4,7.9,3,0,0,0,0,
,58,58,2022,Cibola NWR Unit 1- Crane Roost South ,La Paz,75,Lower Colorado River,,11,NAD83,714650,3693300,,,715380,3693825,,,0,yes ,Cibola NWR Unit 1- Crane Roost South ,Southern Sierra Research Station,TE 017459,0.8,4,7.05,8,1,0,1,1,
,59,59,2022,Cibola NWR Unit 1- Hippy Fire Lower,La Paz,75,Lower Colorado River,,11,NAD83,713894,3693132,,,714725,3695316,,,0,yes ,Cibola NWR Unit 1- Hippy Fire Lower,Southern Sierra Research Station,TE 017459,1,4,5.81,5,0,0,1,0,
,60,60,2022,Cibola NWR Unit 1- Middle Hippy FIre,La Paz,75,Lower Colorado River,,11,NAD83,713830,3694115,,,714620,3694900,,,0,ye,Cibola NWR Unit 1- Middle Hippy Fire,Southern Sierra Research Station,TE 017459,0.8,4,6.94,14,2,1,1,1,
,61,61,2022,Cibola NWR Unit 1- Mass Transplanting and Nature Trail ,La Paz,75,Lower Colorado River,,11,NAD83,715420,3694150,,,716180,3694575,,,0,yes ,Cibola NWR Unit 1- Mass Transplanting and Nature Trail,Southern Sierra Research Station,TE 017459,0.8,4,11.13,5,0,1,0,0,
,62,62,2022,CVCA Phase 1 North ,La Paz,72,Lower Colorado River,,11,NAD83,717015,3699250,,,717800,3699570,,,0,yes ,CVCA 1 North ,Southern Sierra Research Station,TE 017459,0.8,4,10.33,2,1,0,0,0,
,63,63,2022,CVCA Phase 1 South ,La Paz,72,Lower Colorado River,,11,NAD83,717025,3698984,,,717810,3699250,,,0,yes ,CVCA 1,Southern Sierra Research Station,TE 017459,0.8,4,8.42,4,0,1,0,0,
,64,64,2022,CVCA Phase 2 ,La Paz,72,Lower Colorado River,,11,NAD83,717042,3698624,,,717819,3699013,,,0,yes ,CVCA Phase 2 ,Southern Sierra Research Station,TE 017459,0.9,4,9.63,0,0,0,0,0,
,65,65,2022,CVCA Phase 3 North ,La Paz,72,Lower Colorado River,,11,NAD83,714060,3698090,,,714613,3698523,,,0,yes ,CVCA Phase 3 North ,Southern Sierra Research Station,TE 017459,0.5,4,10.59,0,0,0,0,0,
,66,66,2022,CVCA Phase 3 South ,La Paz,72,Lower Colorado River,,11,NAD83,714130,3697600,,,714625,3698088,,,0,yes ,CVCA Phase 3 South ,Southern Sierra Research Station,TE 017459,0.5,4,10.11,0,0,0,0,0,
,67,67,2022,CVCA Phase 8 ,La Paz,72,Lower Colorado River,,11,NAD83,713270,3696120,,,713890,3696920,,,0,yes ,CVCA Phase 8 ,Southern Sierra Research Station,TE 017459,0.8,4,9.65,7,1,1,0,0,
,68,68,2022,CVCA Phase 9,La Paz,72,Lower Colorado River,,11,NAD83,713370,3695340,,,713900,3696108,,,0,yes ,CVCA Phase 9,Southern Sierra Research Station,TE 017459,0.8,4,6.33,2,1,0,0,0,
,69,69,2022,Little Pan ,Maricopa,1787,Agua Fria River,,12,NAD83,392368,3764129,,,390775,3763805,,,13,no ,NA,Bureau of Land Management ,ESPER0034050,2.525,4,9.5,0,0,0,0,0,
,70,70,2022,Tres Rios Overbank Wetlands,Maricopa,320,Gila River,,12S,NAD83,379880,3694678,,,381926,3694997,,,NR,no ,NA,Sonoran Audubon,ESPER0020702,2.2,5,13.31,23,2,4,0,0,
,71,71,2022,Horeshoe Bar ,Maricopa/Yavapai Counties ,1851,Agua Fria River,,12,NAD83,393519,3767272,,,392858,3768652,,,13,yes ,Horseshoe Bar,Bureau of Land Management ,ESPER0034050,3.543,4,15.5,4,0,1,0,0,
,72,72,2022,Blind Indian Creek ,Yavapai,1049,Blind Indian Creek,,12N,NAD83,361722,3790831,,,360206,3788548,,,NR,no,NA,USFS Prescott National Forest ,TE72065A-0,3.5,4,9,4,1,0,0,0,
,73,73,2022,Hassayampa North ,Yavapai,1272,Hassayampa River,,12N,NAD83,358278,3806424,,,358678,3807487,,,NR,yes,Hassayampa North,USFS Prescott National Forest ,TE72065A-0,1.05,4,6.75,1,0,0,0,0,
,74,74,2022,Hassayampa South ,Yavapai,1206,Hassayampa River,,12N,NAD83,355743,3801425,,,356444,3802887,,,NR,yes,Hassayampa South ,USFS Prescott National Forest ,TE72065A-0,1.73,4,6.75,5,1,0,0,0,
,75,75,2022,Gap Creek ,Yavapai,940,Gap Creek/Verde River,,12N,NAD83,427499,3808363,,,428217,3807764,,,NR,no,NA,USFS Prescott National Forest,TE72065A-0,1.6,4,8.5,0,0,0,0,0,
,76,76,2022,Perkinsville,Yavapai,1166,Verde River,,12,NAD83,390236,3862439,,,388792,3862034,,,NR,yes,Perkinsville ,USFS Prescott National Forest ,TE72065A-0,1.6,4,5.75,3,1,0,0,0,
,77,77,2022,Laguna Division Conservation Area (LDCA) Reach 1 East,Yuma,40,Lower Colorado River,,11,NAD83,737500,3638055,,,738040,3639550,,,0,yes,Laguna Reach 1,Southern Sierra Research Station ,TE 017459,1.5,4,7.06,0,0,0,0,0,
,78,78,2022,LDCA Reach 1 North ,Yuma,40,Lower Colorado River,,11,NAD83,736580,3639080,,,737635,3640165,,,0,yes ,Laguna Reach 1 N,Southern Sierra Research Station ,TE 017459,NR,4,10.59,1,0,0,0,0,
,79,79,2022,LDCA Reach 1 West,Yuma,40,Lower Colorado River,,11,NAD83,736725,3637965,,,737505,3639260,,,0,yes,LDCA Reach 1 West ,Southern Sierra Research Station ,TE 017459,1.2,4,12.09,2,1,0,0,0,
,80,80,2022,Laguna Division Conservation Area (LDCA) Reach 2 North ,Yuma ,40,Lower Colorado River,,11,NAD83,735277,3635110,,,737746,3638041,,,0,yes,LDCA Reach 2 N,Southern Sierra Research Station ,TE 017459,3.8,4,9.96,2,0,0,0,0,
,81,81,2022,Laguna Division Conservation Area (LDCA) Reach 2 South,Yuma,40,Lower Colorado River ,,11,NAD83,735277,3635110,,,737746,3638041,,,0,yes,laguna Division Conservation Area (LDCA) Reach 2 South ,Southern Sierra Research Station ,TE 017459,3.8,4,9.7,2,0,0,0,0,
,82,82,2022,Yuma East Wetlands (YEW) North ,Yuma ,40,Lower Colorado River,,11,NAD83,723572,3623498,,,724685,3623943,,,0,yes,Yuma East Wetlands (YEW) North ,Southern Sierra Research Station ,TE 01459,1.1,4,5.34,0,0,0,0,0,
,83,83,2022,Yuma East Wetlands South ,Yuma ,40,Lower Colorado River,,11,NAD83,723469,3622972,,,725052,3623716,,,0,yes,Yuma East Wetland South ,Southern Sierra Research Station ,TE 01459,1.6,4,9.14,1,0,0,0,0,
,84,84,2022,San Bernardino NWR,Cochise,1133-1150,Black Draw and Hay Hollow Wash ,,12,NAD83,666468,3468130,,,667700,3468979,,,8,yes,San Bernardino NWR,USFWS,TE676811-0,3.1,5,20.88,6,1,0,0,0,
,85,85,2022,Ash Creek,Gila,1540,Ash Creek ,,12S,NAD83,540162,3730407,,,539741,3731506,,,11,no,NR,Tonto National Forest ,TE-827726,1.17,4,10.25,4,0,1,0,0,
,86,86,2022,A Cross North ,Gila,664,Tonto Creek ,,12S,NAD83,476180,3739294,,,475112,3740851,,,11,yes,A Cross North ,USFS Tonto National Forest ,TE-8277726,1.9,1,3.58,0,0,0,0,0,
,87,87,2022,Bar-X Road ,Gila,664,Tonto Creek ,,12S,NAD83,473799,3742533,,,473958,3742221,,,11,yes,Bar X,USFS Tonto National Forest ,TE-8277726,2.4,2,5.75,2,1,0,0,0,
,88,88,2022,Webber Creek Transect ,Gila ,5300,Webber Creek ,,12,NAD83,466216,3806787,,,467168,3805393,,,9.77,no ,NA,USFS,ES827726,2.1,4,10,0,0,0,0,0,
,89,89,2022,Site 0414- Gila Box,Graham ,3371,Gila River- Old Safford BRidge to Gillard Hot Springs,,12,NAD83,658030,3648709,,,654190,3649427,,,9.53,yes ,Gila Box,"BLM, Safford Field Office ",NR,7,1,4,2,0,0,0,0,
,90,90,2022,Sites 0559 & 0350- Gila Box ,Graham ,3226,Gila RIver- Gillard to Black Canyon ,,12,NAD83,654190,3649427,,,643875,3643494,,,9.53,yes ,Gila Box,"BLM, Safford Field Office ",NR,17.2,1,8,3,0,0,0,0,
,91,91,2022,0366- Gila Box,Graham ,3152,Gila River- Black Canyon to Dry Canyon ,,12,NAD83,643875,3643494,,,640300,3639563,,,9.53,yes ,Gila Box ,"BLM, Safford Field Office ",NR,NR,1,6,0,0,0,0,0,
,92,92,2022,Gila Box Brown Canal ,Graham ,3086,Gila River/Brown Canal- to Dry Camp ,,12,NAD83,639248,3638794,,,369689,3639446,,,9.53,yes ,Gila Box ,"BLM, Safford Field Office ",NR,1.4,3,4,1,0,0,0,0,
,93,93,2022,Beal Lake Conservation Area,Mohave,145,Lower Colorado River ,,11N,NAD83,725363,3850399,,,726277,3851181,,,11.2,yes ,Beal Lake Conservation Area,Bureau of Reclamation ,TE053085-1,0.7,4,8.31,3,0,1,0,0,
,94,94,2022,ADOT Highway 85 Mine ,Maricopa ,253,Gila River ,,12S,NAD83,349620,3691172,,,349612,3691170,,,10.05,no ,NA,SWCA Environmental Consultants ,ESPER0009523-0,0.5,5,7.73,2,1,0,0,0,
,95,95,2022,Aravaipa East to Deer Creek (AGFD site 0522),"Graham, Pinal  ",3097,Aravaipa Canyon- East End ,,12S,NAD83,552013,3639992,,,549835,3641021,,,9.53,no ,NA,"BLM, Safford Field Office ",NR,3.3,3,4.5,2,1,0,0,0,
,96,96,2022,Doll Baby Ranch ,Gila,3400,East Verde River,,12N,NAD83,454727,3786919,,,456707,3786996,,,NR,yes,Doll Baby Ranch,USFS,ES827726,2.8,8,26.5,54,1,8,0,0,
,97,97,2022,PVER Phase 4 North ,Riverside,86,Lower Colorado River ,,11,NAD83,729810,3730740,,,730639,3731163,,,NR,yes ,PVER Phase 4 North ,Southern Sierra Reseach Station,TE 017459,0.8,4,10.85,4,1,0,0,0,
,98,98,2022,PVER Phase 4 South ,Riverside,86,Lower Colorado River,,11,NAD83,729434,3730486,,,730155,3731486,,,NR,yes,PVER 4 South,Southern Sierra Research Station,TE 017459,0.72,4,6.66,4,0,0,1,0,
,99,99,2022,PVER Phase 5 North ,Riverside ,86,Lower Colorado River ,,11,NAD83,731030,3731585,,,731982,3732021,,,0,yes,PVER 5N,Southern Sierra Research Station ,TE 017459,0.8,4,8.94,7,1,0,0,NR,
,100,100,2022,PVER Phase 5 Triangle ,Riverside,86,Lower Colorado River,,11,NAD83,731030,3730980,,,731745,3731615,,,0,yes,PVER Phase 5 Triangle ,Southern Sierra Research Station ,TE 017459,0.8,4,8.6,4,1,1,0,0,
,101,101,2022,PVER Phase 6 North ,Riverside,86,Lower Colorado River ,,11,NAD83,730971,3732395,,,732112,3732850,,,0,yes,PVER Phase 6 North ,Southern Sierra Research Station ,TE 017460,0.8,4,11.18,6,1,1,0,0,
,102,102,2022,PVER Phase 6 South ,Riverside ,86,Lower Colorado River ,,11,NAD83,730971,3731977,,,732112,3732435,,,0,yes,PVER Phase 6 South ,Southern Sierra Research Station ,TE 017461,1.08,4,12.72,21,1,1,3,3,
,103,103,2022,PVER Phase 7 North ,Riverside ,86,Lower Colorado River ,,11,NAD83,730900,3733220,,,732020,3733665,,,0,yes,PVER 7 North ,Southern Sierra Research Station ,TE 017459,0.6,4,13.76,10,0,2,1,1,
,104,104,2022,PVER Phase 7 South ,Riverside,86,Lower Colorado River,,11,NAD83,730900,3732803,,,732100,3733220,,,0,yes,PVER Phase 7 South ,Southern Sierra Research Station ,TE 017459,0.6,4,10.17,5,1,0,0,0,
,105,105,2022,PVER Phase 8 ,Riverside,86,Lower Colorado River,,11,NAD83,730872,3734124,,,731229,3734596,,,0,yes,PVER Phase 8,Southern Sierra Research Station ,TE 017460,0.43,4,6.91,3,0,0,1,0,
,106,106,2022,PVER Phase 5 west ,Riverside,86,Lower Colorado River,,11,NAD83,730622,3731600,,,731988,3732020,,,0,yes,PVER Phase 5 West,Southern Sierra Research Station ,TE 017461,0.8,4,9.77,7,1,0,0,0,
,107,107,2022,PVER Phase 1,Riverside,86,Lower Colorado River ,,11,NAD83,728217,3730448,,,729443,3730706,,,0,yes ,PVER 1,Southern Sierra Research Station ,TE 017462,0.8,4,2.5,2,1,0,0,0,
